6	131, 7
9	9, 126
12	4, 8, 132
15	14, 151, 27, 140
18	145, 29, 48, 113, 139, 121, 134, 96, 148
21	18, 48, 71, 117
24	47, 86, 84
27	47, 86
30	9, 139, 126
33	10, 121, 153, 22
36	1, 27, 129
39	21, 67, 62
42	1, 27, 4
45	43, 28, 80
48
51	18, 96, 148, 34
54	11, 32, 120
57	80, 153, 20, 141, 63
60	2, 18, 1
63	20
66	8, 41, 111
69	73, 23, 111
72	10, 140, 116, 142
75	4, 9, 116, 137
78	134, 26, 111
81	151, 138, 23, 6
84	120, 127
87	4, 8
90	8, 12
93	4, 8
96	8, 12
99	133, 9, 24
102	31, 16, 109
105	102, 109
108
111	18, 121
114
117	12, 17
120	9, 126, 127
123	132, 150
126	12, 23, 106
129	143, 24, 17
132	152, 145, 144, 150, 147, 143, 151
135	26, 5, 137, 136
138	18, 139, 142
141	15, 140, 48
144
147	123, 133
150	17, 143, 14
153
1	14, 27
4	5, 8
7	151, 6
10	2, 153, 116
13	8, 38, 12, 20, 124
16	11, 32, 141
19	9, 153, 38, 29
22
25	18, 139, 42
28	39, 74
31	24, 112, 16
34	8, 20, 121, 15
37	18, 28, 138, 113, 33, 15
40	17, 121, 14
43	145, 134, 121, 78, 80
46
49	17, 22
52	18, 121, 19
55	37, 111, 138, 52, 29
58	14, 16, 142
61	152, 23, 151, 42, 19
64	8, 15, 4, 111
67	13, 139, 112
70	71, 118, 119, 120
73	55, 46, 111, 143, 138
76	145, 134, 148
79	145, 9, 106, 134
82	128, 17, 13, 6
85	33, 22, 34
88	33, 22, 25
97	37, 28, 11
100	151, 6
103	54, 104, 25
106	20, 108, 111
109	13, 20
112	39, 108, 114
115	131, 146
118	23
121	12, 31
124	9, 126, 19
127	11, 32, 39
130	17, 153, 118
133	37, 33, 9, 28
136
139	132, 145, 144, 140
142	2, 7, 26
145	145, 134
148	8, 151, 139
151	81, 6
154
2	10, 1, 26
5	4, 6, 7, 8
8	13, 12, 15, 130
11	16, 32
14	15, 27, 95
17	17, 35, 13, 14, 140, 132
20	55, 111, 64
23	9, 48, 29, 12
26	75, 137
29	10, 96, 116
32	9, 14, 24
35	15, 81, 22
38	18, 121
41	10, 124, 153
44	18, 121, 113
47	24, 86, 20
50	17, 14, 120
53	4, 8, 116, 81
56	8, 33, 130, 154
59	18, 111, 96
62	8, 121
65	18, 16, 63
68	4, 9, 22
71	70, 118, 119, 120
74	4, 52, 111, 8
77	18, 29, 129
80	37, 42, 112, 113
83	23, 67
86	4, 8, 28
89	138
92	41, 30
95	8, 12
98	2, 26, 13, 148
101	12, 38, 31
104	1, 106, 27
107	36, 34, 19
110
113	112
116
119	4, 9
122	1, 27
125	129, 21
128	82, 17, 13, 4
131	4, 7, 152, 146
134	78, 26, 149
137	81, 23, 14, 148
140	145, 148, 134, 4
143	82, 13, 17, 21
146	149, 152, 133
149	16, 141, 128, 152
152	132, 151, 144, 145, 147, 150
155	2, 17, 1
