133	149, 147, 146, 145
132	12, 18, 17
131	51
130	8, 148, 56, 62, 66
137	26, 145, 75, 135
136	145, 139, 78, 135, 134
135	52, 145
134	18, 43, 145, 145, 145, 140, 76, 79
139	18, 30, 25, 37, 148, 67, 138
138	37, 151, 55, 73, 137, 81
24	9, 19, 32, 129, 99
25	54, 139, 103, 88
26	10, 2, 142, 78, 134, 98, 94
27	14, 15, 36, 42, 1, 122, 104
20	13, 34, 47, 57, 109
21	143, 129, 125
22	33, 35, 49, 68, 129, 88, 85
23	12, 61, 69, 137, 126, 81
28	37, 45, 55, 80, 133, 97, 86
29	18, 19, 23, 55, 77
4	42, 64, 140, 128
8	4, 4, 5, 12, 53, 74, 93, 87, 86
120	50, 54, 55, 70, 71
121	18, 33, 34, 38, 40, 43, 44, 52, 62, 111
124	13, 41
125	56
126	9, 9, 23, 30, 124, 120
127	127, 120, 84
128	149, 65
129	36, 47, 74, 77
118	14, 70, 71, 130, 154
59	54, 141
58	55
55	64
56	45
51	97
50	39
52	40, 55, 74
115	60
114	113, 112
117	21, 57
116	10, 29, 53, 72, 75
111	20, 55, 59, 64, 66, 69, 73, 74, 78, 79, 106
110	9
113	18, 37, 44, 80
112	31, 57, 67, 80
80	43, 45, 61
81	18, 35, 53
86	24, 27, 47, 47
87	150, 55, 61
84	24, 31
85	81
7	4, 5, 6, 142, 131
108	39, 112, 106
109	109, 105, 102
102	25
100	76
106	9, 79, 126, 104
107	106
104	65, 103
39	131, 127
38	13, 19, 101
33	37, 56, 139, 133, 99
32	11, 16, 18, 54, 127
31	12, 121, 101
30	41, 61, 92
37	116
36	90
35	17, 17, 49, 130
34	51, 107, 85, 81
60	80
62	28, 39
63	18, 57, 65
64	20, 63
65	61
66	103
67	23, 37, 39, 83
69	142
2	26
6	4, 5, 7, 151, 151, 100, 82, 81
98	61, 111
90	47
93	111
95	14, 58
97	140
96	18, 29, 51, 59
11	57, 62, 97
10	138, 89
13	17, 150, 143, 128, 98, 82
12	8, 13, 23, 96, 95, 90
15	8, 34, 37, 64
14	17, 32, 40, 50, 150, 137
17	12, 155, 143, 130, 129, 128, 117, 82
16	31, 58, 65, 102
19	36, 52, 61, 129, 124, 107
18	44, 60, 128
151	15, 152, 152, 132, 148, 61
150	152, 132, 147, 123
153	10, 19, 33, 41, 57, 130
152	151, 149, 146, 80, 131
154	56, 67
48	18, 21, 23, 141
49	59
46	69, 73
119	23, 70, 71, 118
44	111
42	25, 53, 57, 61, 80
43	93
41	14, 15, 66
1	2, 2, 155, 60
5	69, 135
9	4, 5, 68, 75, 79, 133, 119, 99
146	152, 132, 131, 115
147	152, 132, 147, 57, 133
144	152, 132, 139
145	152, 132, 139
142	34, 58, 142, 72, 138
143	13, 152, 132, 150, 142, 67, 73
140	15, 17, 35, 141, 139, 72
141	16, 149, 57, 141
148	18, 152, 132, 51, 140, 137, 76, 98
149	152, 132, 146, 77, 134
77	50
75	75, 81
74	28, 79
71	21, 39
70	140
79	37
78	43, 45
